Точка,Название,Значение,Локализация
Co9,Shanglian,"«Шан»—«вверху, верхний»; «лянь» — «край, сторона». Точка расположена на краю наружной поверхности предплечья, на 1 цунь выше точки Ся-лянь GI.8, поэтому и называется «верхняя на краю.","На линии, соединяющей точки Ян-си GI.5 и Цюй-чи GI.11, на 3 цуня ниже точки Цюй-чи GI.11."
Co10,Shousanli,"«Шоу» (手)—《рука, ручной»; «сань» (三)一《три»; «ли» (里)—«селение, расположенное на проезжих путях». Каналы можно сравнить с дорогами, а точки — с селениями, расположенными вдоль дорог. Таким образом, Шоу-сань-ли GI.10 — это «селение» (ли), расположеное на руке (шоу) на три (сань) цуня ниже верхушки локтя — точки Чжоу-ляо GI.12.","На линии, соединяющей точки Ян-си GI.5 и Цюй-чи GI.11, на 2 цуня ниже точки Цюй-чи GI.11."
Co11,Quchi,"《Цюй» (曲）一《сгибать, изгиб»; «чи» (池）一 «озеро». При сгибании руки в локтевом суставе в месте расположения точки образуется углубление, напоминающее озе- ро, отсюда и название.","При согнутой в локтевом суставе руке в углублении у лучевого края локтевой складки. Этот способ нахождения точки впервые предложен в книге «Тай пин шэн хуэй фан» (Собрание чудодейственных ре- цептов Великого спокойствия, 992 г.). В книге «Чжэнь цзю цзя и цзин» (Канон основ иглоукалывания и прижигания, 282 г.) говорится, что точка Цюй-чи GI.11 расположена с наружной стороны локтя между плечевой и лучевой костями^. Иногда указывается, что точка расположена между краем локтевой складки и латеральным надмыщелком плечевой кости, или в середине соединительной линии между точкой Чи-цзэ Р.5 и латеральным надмыщелком плечевой кости."
Co12,Zhouliao,"«Чжоу» —«локоть»; «ляо» 一 «акупунктурная точка в углублении кости». Точка расположена на локте в углублении на латеральной стороне плечевой кости, отсюда и название.","При согнутой в локтевом суставе руке на 1 цунь кнаружи и кверху от точки Цюй-чи GI.11, у переднего края плечевой кости."
Co13,Shouwuli,"«Шоу» (手)—«рука»; «у» (五)——《пять (то есть цифра, расположенная посередине между 1 и 10)»; «ли»  — «место». В книге «Чжэнь цзю цзя и цзин» (Канон основ иглоукалывания и прижигания, 282 г.) при объяснении названия точки указывается, что она расположена на руке, в месте «посередине большого сосуда».","На линии, соединяющей точки Цюй-чи GI.11 и Цзянь-юй GI.15, на 3 цуня выше точки Цюй-чи GI.11."
Co14,Binao,"《Би» (臂)——《плечо»; «нао» (月需)一《мышцы плеча (дельтовидная мышца и двуглавая мышца плеча)». Точка Би-нао GI.14 расположена на плече в области дельтовидной мышцы, отсюда и название.","На линии, соединяющей точки Цюй-чи GI.11 и Цзянь-юй GI.15, на 7 цуней выше точки Цюй-чи GI.11, у нижнего края дельтовидной мышцы."
Co15,Jianyu,«Цзянь» — «область плечевого сустава»; «юй»  — место схождения акромиального отростка лопатки и плечевой кости. Свое название точка получила по месту расположения.,"Между акромиальным отростком лопатки и большим бугром плечевой кости. При отведенной в сторону под прямым углом руке определяются два углубления, точка Цзянь-юй GI.15 расположена в переднем углублении."
Co16,Jugu,"«Цзюй гу» (巨’胃•) 一 (доел, «огромная кость») древнее название ключицы, кзади от которой расположена точка.",В углублении кнутри от ключично-лопаточного сочленения.
Co17,Tianding,"Тянь» - «небо, небесный»; «дин»  — «треножник» (бронзовый сосуд с двумя ушками, в древности служил для приготовления пищи, жертвоприношений и казни через сварение). Область человеческого тела выше плеч называется «небесной». Точки Тянь-дин GI.17, Ци-шэ Е.11 и Цюэ-пэнь Е.12 образуют треугольник, напоминая ножки треножника.","Выше надключичной ямки, на 1 цунь прямо Рисунок 21. вниз от точки Фу-ту GI.18, у заднего края грудино-ключичнососцевидной мышцы, на уровне нижнего края Адамова яблока."
Co18,Futu,"«Фу»  — «фу, ладонь» (мера длины в 4 сложенных вместе пальца, составляет 3 цуня); «ту» (突)——《выпуклость». Под «ту» подразумевается выступ гортани (Адамово яблоко). Точка расположена на 3 цуня кнаружи от верхнего края Адамова яблока, отсюда и название","боковой части шеи, на 3 цуня кнаружи от верхнего края Адамова яблока, между грудинной и ключичной головками грудино-ключично-сосцевидной мышцы ."
Co19,Kouheliao,"«Хэ» - колосья; «ляо»  — «акупунктурная точка, расположенная в углублении кости». На верхней губе растут усы, напоминающие колосья. Точка расположена на верхней губе, в области клыковой ямки, отсюда и название.","Прямо вниз от наружного края носового отверстия, на уровне точки Шуй-гоу VG.26."
Co20,Yingxiang,"«Ин»  — «встречать»; «сян» — «аромат». Эта точка используется при лечении заложенности носа с потерей обоняния, когда невозможно различать ароматы и запахи», отсюда и название.",На назолабиальной борозде на уровне середины наружного края крыла носа.
Liv1,Dadun,"Да» (大) — «большой палец»; «дунь» (敦) — «толстый, обильный». Точка расположена на большом пальце стопы, в месте, которое «обильно мышцами.","На наружной стороне большого пальца стопы, приблизительно на 0,1 цуня от угла ногтя."
Liv2,Xingjian,Син» (行) — «проходить»; «цзянь» (間)—«промежуток». Ножной цзюэ-инь канал печени от точки Да-дунь F.1 на большом пальце стопы проходит (син) в промежуток (цзянь) между I и II пальцами — в место расположения точки Син-цзянь F.2.,"На тыле стопы, на складке между I и II пальцами стопы, в углублении кпереди от I и II плюснефаланговых суставов."
Liv3,Taichong,"«Тай» (太)——великий; «чун» (冲)一важный перекресток，стратегический пункт. Тай-чун F.3 — точка первичной Ци и точка-быстрина ножного цзюэ-инь канала печени, здесь проходит и задерживается первичная Ци печени, поэтому точка сравнивается с «великим перекрестком» Ци и крови.","На тыле стопы, в переднем углублении места схождения I и II плюсневых костей."
Liv4,Zhongfeng,"«Чжун» (中)— внутри; «фэн» (封)— завертывать, быть завернутым. Если поднять стопу носком вверх, в месте расположения точки образуется углубление, если же разогнуть ее,— точка закроется мышцами, будет словно завернута внутрь.","На 1 цунь кпереди от медиальной лодыжки, в углублении у внутреннего края сухожилия передней большеберцовой мышцы."
Liv5,Ligou,"1. «Ли» (蠡) — «источенное червем дерево»; «гоу» (溝) — «канава». Точка расположена у края большеберцовой кости, словно в канавке, образовавшейся на источенном червями дереве.2. «Ли»  (蠡) — «черпак из тыквы»; «гоу» (溝) — «канава». Место расположения точки напоминает канаву на черпаке из тыквы.",На 5 цуней выше вершины медиальной лодыжки，в середине внутренней поверхно- сти большеберцовой кости.
Liv7,Xiguan,"Си» (膝) — «колено»; «гуань» (關) — «сустав». Точка расположена в области коленного сустава, используется при лечении его болезней.","Кзади и книзу от медиального мыщелка большеберцовой кости, на 1 цунь кзади от точки Инь-лин-цюань RP.9. Используют точку, когда пациент сидит прямо с согнутыми в коленных суставах ногами."
Liv8,Ququan,"Цюй (曲) - «изгиб, сгибать»; цюань (泉) - «родник». При сгибании ноги в коленном суставе в месте расположения точки образуется углубление, напоминающее родник, отсюда и название.",При согнутой в коленном суставе ноге в углублении у медиального конца подколенной складки.
Liv9,Yinbao,"1. «Инь» (阴) — «Инь-каналы»; «бао» (包) — «скрываться, прятаться». Точка словно «скрывается» между двумя Инь — ножным тай-инь каналом селезенки и ножным шао-инь каналом почек.2. «Инь» (阴)— внутренняя Инь-сторона бедра; «бао» (包)— матка; мочевой пузырь . Точка расположена на внутренней Инь-стороне бедра, используется при лечении нарушений менструального цикла и мочеиспускания, то есть тесно связана с маткой и мочевым пузырем","На 4 цуня выше медиального мыщелка бедренной кости, у заднего края портняжной мышцы."
Liv10,Zuwuli,"1. «Цзу» (足)—《нога»; «у» (五)一 《пять*; «ли» (里)一 «место». Точка расположена на ноге, в месте на 5 цуней выше точки Цзи-мэнь RP.11. Противопоставляется точке Шоу-у-ли GI.13, расположенной на руке.2. «Цзу» (足)—«нога»; «у» (五)—«пять, пятый»; «ли» (里)——«место, положение». Точка расположена на ноге. На ножном цзюэ-инь канале печени четырнадцать точек. Цзу-у-ли F.10 —на пятом месте с конца.3. «Цзу» (足)一 «нога»; «у» (五)—пять цзан-органов; «ли» (里)— «нормализовать». Точка расположена на ноге, способствует нормализации Ци и оживлению крови, используется при лечении наружных проявлений болезней пяти цзан-органов.","На 3 цуня прямо вниз от точки Ци-чун Е.30, у наружного края длинной приводящей мышцы бедра."
Liv11,Yinlian,"1. «Инь» (陰) — «внутренняя Инь-сторона тела»; «лянь» (廉) — «край, граница». Точка расположена на границе внутренней поверхности бедра.2. «Инь» (陰) — «внутренняя Инь-сторона тела»; «лянь» (廉) — «край, граница». Точка расположена на внутренней поверхности бедра, на краю лобковой кости.3. «Инь» (陰) — «наружные половые органы»; «лянь» (廉) — «край, граница». Точка расположена вблизи наружных половых органов","На 2 цуня ниже точки Ци-чун Е.ЗО, у наружного края длинной приводящей мышцы бедра, на 2 цуня кнаружи и на 2 цуня вниз от точки Цюй-гу VC.2, расположенной на 5 цуней ниже пупка у верхнего края лобкового симфиза."
Liv12,Jimai,"«Цзи» (急)—«пульсирующий»; «май» (脉)—«сосуд». В месте расположения точки проходит наружная половая артерия, отсюда и название.","На 2,5 цуня кнаружи от нижнего края лобкового симфиза."
Liv13,Zhangmen,"Чжан (章) — «светлый, ясный»; мэнь (門) —«ворота». Точка расположена на ножном цзюэ-инь канале печени. Печень относится к элементу Дерево, свойствами которого являются свет, весна, начало жизни. Чжан-мэнь F.13 — одно из «восьми средоточий» — «средоточие цзан- органов», расположена с двух сторон в подреберьях, словно «ворота» цзан-органов.","У конца XI ребра. Находят и используют точку, когда пациент лежит на боку с выпрямленной нижней ногой, согнутой верхней ногой и поднятой рукой."
Liv14,Qimen,"«Ци» (期) — «круг, оборот»; «мэнь» (門) — «ворота». Ци и кровь двенадцати каналов начинают свой путь в точке Юнь-мэнь Р.2 ручного тай-инь канала легких и заканчивают в точке Ци-мэнь F.14 ножного цзюэ-инь канала печени, после чего кругооборот начинается вновь, поэтому точка сравнивается с «вратами кругооборота» канальной Ци.",Прямо вниз от соска，в VI межреберном промежутке.
Lu1,Zhongfu,"Источник скопления чи под ключицей выходящий на поверхность.Чжун (中) Чжун-цзяо (средняя часть Сань-цзяо)Фу (府) дворец, средоточие, место соединения.Ручной тай-инь канал легких начинается в Чжун-цзяо — средней части Сань-цзяо, которая соотносится с селезенкой и желудком. Чжун-中у Р.1 — точка, в которой Ци канала легких выходит на поверхность тела, является местом сосредоточения Ци Чжун-цзяо. Ян Шаншань (585—670 гг.), объясняя название этой точки, писал: Фу означает соединение, Ци легких и селезенки сливаются в этой точке. В данном случае под Ци селезенки подразумевается Ци Чжун-цзяо.","В ключично-грудном треугольнике, в I межреберье, кнаружи от средней линии груди на 6 цуней и на 1 цунь ниже нижнего края ключицы или точки Юнь-мэнь Р. 2.На 6 цуней кнаружи от передней срединной линии (точки Хуа-гай VC.20), на прямой линии, проходящей на 2 цуня кнаружи от соска (у мужчин), в I межреберном промежутке, на 1 цунь ниже точки Юнь-мэнь Р.2"
Lu2,Yunmen,"«Ворота выхода чи наружу».«Юнь» 云  «облако, туман»; «мэнь» 门 — «ворота». Точка относится к ручному тай-инь каналу легких. Легкие расположены выше других цзанфу-органов, их Ци можно сравнить с облаками. В этой точке Ци легких словно через ворота выходит на поверхность тела. Во многих древних источниках указано, что Ци и кровь двенадцати каналов, совершая кругооборот в организме человека, «выходят наружу» в точке Юнь-мэнь Р.2 и «входят вглубь» в точке Ци-мэнь F.14, в названии которой также содержится компонент «мэнь» (ворота).Кроме того, в каноне «Лин шу» Шан-цзяо (верхняя часть Сань-цзяо, которой соответствуют легкие) сравнивается с туманом. Легкие управляют распространением Ци, жидкостей и питательных веществ по организму, контролируют кожные покровы. В жаркую погоду облака поднимаются высоко вверх и рассеиваются, а во время холодов туман стелится по земле. При нарушении функций легких патогенные холод и жар легко проникают в организм, возникают ощущения холода или жара в конечностях и теле. Точку Юнь-мэнь Р.2 можно сравнить с «защитными воротами», не позволяющими Ци легких выйти наружу.","В ключично-грудном треугольнике, кнаружи от средней линии груди на 6 цуней, под нижним краем акромионального конца ключицы, в подключичной ямке между дельтовидной и большой грудными мышцами; на 1 цунь выше точки Чжун-фу Р.1.В верхней наружной части передней грудной стенки, у верхнего края клювовидного отростка лопатки, в подключичной ямке (между большой грудной и дельтовидной мышцами), на 6 цуней кнаружи от передней срединной линии (точки Сюань-цзи VC.21), на один поперечный палец книзу от места соединения наружной 1/з и внутренних 2/з ключицы, на 1 цунь выше точки Чжун-фу Р.1"
Lu3,Tianfu,"«Источник открытия окна легких».«Тянь» (天) —«небо, небесная Ци, воздух»; «фу» (府)——«дворец, средоточие, место соединения». Верхняя часть тела называется «небесной». Точка расположена на плече, является местом средоточия Ци легких. Объяснение названия точки также связывают со способом ее нахождения кончиком носа «Легкие открываются в нос» Нос управляет дыханием, через него проходит воздух (дословно «небесная Ци»), в то время как легкие — «дворец всей Ци организма человека» (人身诸气之府).Кроме того, есть еще одно объяснение. Если протянуть руку вперед или в сторону, точка Тянь-фу Р.З будет находиться на одном уровне с точкой Юнь-мэнь Р.2. Место сосредоточения, дворец (фу) «облачной Ци» то есть Ци легких, находится на «небе» (тянь). Таким образом, название точки Тянь-фу Р.З символизирует движение Ци легких —через «облачные ворота» (Юнь-мэнь Р.2) в «небесный дворец» (Тянь-фу Р.З).","В передней поверхности плеча, на 3 цуня ниже нижнего уровня передней подмышечной складки, по латеральному краю двуглавой мышцы плеча; выше точки Чи-цзе Р.5 на 6 цуней.На внутренней поверхности плеча, на 3 цуня ниже уровня передней подмышечной складки или на 6 цуней выше локтевого сгиба (т. е, в месте соединения верхней и нижних 2/з расстояния между подмышечной складкой и локтевым сгибом), у лучевого края двуглавой мышцы плеча.В книге «Вай тай ми яо фан» (Секретные рецепты из книгохранилища, 752 г.) говорится: «Понюхайте носом плечо, точка расположена в месте кончика носа». То есть для нахождения точки можно протянуть руку вперед, наклонить голову и дотронуться до внутренней поверхности плеча кончиком носа, в этом месте и расположена точка Тянь-фу Р.З."
Lu4,Xiabai,"«Сжимающая белое», «Меридиан, переходящий в белое».«Ся» (侠)——«сжимать»; «бай» (白)—«белый». Точка расположена на внутренней поверхности плеча, с двух сторон «сжимая» легкие. Легкие относятся к элементу Металл, цвет Металла — белый, поэтому и называется «сжимающая белое».","На передней области плеча, на 4 цуня  ниже уровня подмышечной впадины, на латеральном крае двуглавой мышцы плеча или на 5 цуней выше локтевой складки от точки Чи-цзе Р.5.На внутренней поверхности плеча, на лучевой стороне двуглавой мышцы плеча, на 4 цуня ниже уровня передней подмышечной складки или на 1 цунь ниже точки Тянь-фу Р.З, на 5 цуней выше локтевого сгиба.Точка расположена на уровне сосков (у мужчин), поэтому в некоторых древних книгах предлагается следующий способ ее нахождения: соски помечают тушью, просят пациента опустить руки вниз и постараться сомкнуть их впереди. Места на руках, где отпечатается тушь, — точка Ся-бай Р.4."
Lu5,Chize,"«Выводящая болотную гниль».«Чи» (尺)—«внутренняя поверхность предплечья»; «цзэ» (、泽)— «болотистая местность, низина». Чи-цзэ Р.5 расположена на внутренней поверхности предплечья, является точкой устьем ручного тай-инь канала легких. Точкам-устьям каналов цзан-органов соответствует элемент Вода, здесь канальная Ци становится обильной, подобно реке, впадающей в море. Дельта реки обычно представляет собой болотистую местность с многочисленными протоками и озерками.","В складке локтевого сгиба, у наружного края сухожилия двуглавой мышцы плеча. "
Lu6,Kongzui,"«Место сосредоточения чи легких, которым можно управлять».• «Кун» (孑L) 一 «ноздри»; «цзуй» (最) - «самый». При помощи Кун-цзуй Р.б можно достичь ноздрей (кун), это самая (цзуй) подходящая точка восстановления циркуляции Ци легких.• «Кун» (孑L) 一《отверстия»; «цзуй» (最) - 《самый». Эта точка — самая (цзуй) подходящая для устранения застоя крови и прочищения отверстий (кун) при лечении кашля, одышки.","На внутренней поверхности предплечья, выше лучезапястной складки  на 7 цуней, на линии, соединяющей точки Тай-юань P.9 и Чи-цзэ P.5. Точка проецируется на медиальный край плечелучевой мышцы и латеральный край круглого пронатора."
Lu7,Lieque,"«Ле» (歹У) — «раскалываться; ответвляться»; «цюэ» (缺)—«трещина на посуде». Точка расположена у края шиловидного отростка лучевой кости. При ощупывании место расположения точки напоминает трещину на расколотой посуде. Кроме того, в этой точке ответвляется (ле) коллатераль ручного тай-инь канала легких. «Ле цюэ» (歹〇缺)——《вспышка молнии». В этой точке от канала легких подобно молнии ответвляется в коллатераль.","У верхнего края шиловидного отростка лучевой кости, на 1,5 цуня выше лучезапястной складки, между сухожилием плечелучевой мышцы и сухожилием мышцы, отводящей большой палец кисти.Для нахождения точки часто применяется следующий способ: пациент скрещивает руки через промежутки между большими и указательными пальцами. Точка Ле-цюэ Р.7 находится в углублении на уровне конца указательного пальца."
Lu8,Jingqu,"«Место постоянной пульсации чи и крови». «Цзин» (经)— «текущий прямо поток, точка-река»; «цюй» (渠)— «водоток, канал, водный путь». Точка расположена возле артерии, где бурлят Ци и кровь, как в текущем прямо водотоке. Кроме того, Цзин-цюй Р.8 является точкой-рекой (цзин) канала легких. В точках-реках канальная Ци течет быстро, как вода по водным путям (цюй).","В нижней части ладонной поверхности предплечья, на 1 цунь выше лучезапястной складки, в углублении между шиловидным отростком лучевой кости и лучевой артерией. Цзин- цюй Р.8 соответствует точке Гуань отрезка Цунь-коу, то есть при пальпации пульса III палец руки указывает на точку Цзин-цюй Р.8"
Lu9,Taiyuan,"«Тай»  — «великий»; «юань»  — «место скопления, хранилище, бездна». Точка Тай-юань Р.9 расположена на отрезке Цунь-коу, является одним из «восьми средоточий» — «средоточием сосудов», связанным со всеми каналами, «местом великого скопления» Ци и крови множества сосудов. Кроме того, Тай-юань Р.9 — точка первичной Ци легких, «место великого скопления» Ци легких.","На ладонной стороне лучезапястной складки, в углублении у лучевой стороны лучевой артерии, между сухожилиями лучевого сгибателя кисти и длинной отводящей мышцы I пальца, кнаружи и кверху от бугристости ладьевидной кости"
Lu10,Yuji,"«Юй» (鱼）一《рыба»; «цзи» (际）一《край». Мышцы в области ладонной стороны I пястной кости имеют форму рыбы. Точка расположена на краю этих мышц, поэтому и называется «край рыбы».","У середины I пястной кости, на границе ладонной и тыльной поверхности кисти."
Lu11,Shaoshang,"《Шао» (少)—«мало»; «шан» (商)——один из «пяти звуков» китайской пентатоники. Звук «шан» соотносится с элементом Металл. Среди пяти цзан-органов к элементу Металл относятся легкие. Шао-шан Р.11 является точкой-истоком ручного тай-инь канала легких. В точках-истоках канальная Ци еще мала, как вода, струящаяся из родника.","На лучевой стороне большого пальца кисти, приблизительно на 0,1 цуня кнаружи от угла ногтя."
Hg1,Tianchi,"Тянь» (天)—«небесный»; «чи» (池)—«озеро». Вершина соска напоминает горный пик, достигающий неба. Точка Тянь-чи МС.1 расположена возле соска, словно озеро высоко в горах.","В IV межреберном промежутке, на 1 цунь кнаружи от соска и на 5 цуней кнаружи от передней срединной линии."
Hg2,Tianquan,"«Тянь» (天)一 небесный; «цюань» (泉)一 родник. Вытекая из точки Тянь-чи МСЛ («небесного озера»), канальная Ци ручного цзюэ-инь канала перикарда словно родник течет по руке","На 2 цуня ниже передней подмышечной складки, между длинной и короткой головками двуглавой мышцы плеча. Находят и используют точку при разогнутой в локтевом суставе руке и обращенной кверху ладони."
Hg3,Quze,"Цюй (曲)——сгибать, изгиб; цзэ (泽)— озеро. При сгибании руки в локтевом суставе место расположения точки напоминает неглубокое озеро, отсюда и название.","На поперечной локтевой складке, у локтевого края сухожилия двуглавой мышцы плеча.Находят и используют точку при слегка согнутой в локтевом суставе руке."
Hg4,Ximen,"Си» (爱) — «точка-щель»; «мэнь» (門) — «ворота». Си-мэнь МС.4 — точка-щель ручного цзюэ-инь канала перикарда, расположена между двумя сухожилиями, словно в «воротах».","На 5 цуней выше лучезапястной складки, между сухожилием длинной ладонной мышцы и сухожилием лучевого сгибателя запястья. Используют точку при разогнутой в локтевом суставе руке и обращенной кверху ладони."
Hg5,Jianshi,"Цзянь (|司)一промежуток; ши (使)——министр-посланник.Точка расположена в промежутке между сухожилиями, относится к ручному цзюэ-инь каналу перикарда. Сердце — «орган-владыка» (君主之官) перикард — «министр-посланник» (臣使之官).Точка сравнивается с посланником, направленным государем для ведения дел.","На 3 цуня выше лучезапястной складки, между сухожилием длинной ладонной мышцы и сухожилием лучевого сгибателя запястья."
Hg6,Neiguan,"1. «Нэй» (内) - внутренняя сторона руки, «гуань» (关)— горный проход; заслон, застава. Точка Нэй-гуань МС.6 расположена на внутренней стороне предплечья, является важным местом прохода канальной Ци, словно застава предохраняет организм от патогенной Ци.2. «Нэй» (内)— внутренняя сторона руки; «гуань» (关)— одна из трех точек пальпации пульса на отрезке Цунь-коу. Точка Нэй-гуань МС.6 расположена на внутренней стороне руки возле точки «гуань», отсюда и название.3. «Нэй» (内)—— внутренние органы ; «гуань» (关)一 иметь отношение . Воздействие на точку имеет отношение к лечению болезней внутренних органов, отсюда и название.4 «Нэй» (内)一внутренний синдром; «гуань» (关)一иметь отношение. Нэй-гуань МС.6 — одна из точек слияния восьми сосудов, связанная с сосудом Инь-вэй-май, который управляет внутренним Точка имеет отношение к лечению внутреннего синдрома, отсюда и название.","На 2 цуня выше лучезапястной складки, между сухожилиями длинной ладонной мышцы и лучевого сгибателя запястья. Используют точку при разогнутой в локтевом суставе руке и обращенной кверху ладони."
Hg7,Daling,"«Да» (大)——большой; «лин» (陵)——возвышение, холм. Точка расположена сзади возвышения полулунной кости, словно у большого холма.","Посередине лучезапястной складки, между сухожилиями длинной ладонной мышцы и лучевого сгибателя запястья. Используют точку при обращенной кверху ладони."
Hg8,Laogong,"Лао (劳)——труд; гун (宮)一 дворец. Точка расположена в середине ладони — органа труда, поэтому и сравнивается с «дворцом труда».","В середине ладони, на проксимальной складке ладони, между II и III пястными костями, при сжатой в кулак кисти кончик среднего пальца указывает на эту точку."
Hg9,Zhongchong,"Чжун» (中)一 средний палец; «чун» (冲)——уносится, прорываться. Чжун-чун МС.9 расположена на кончике среднего пальца руки, является последней точкой ручного цзюэ-инь канала перикарда, который от среднего пальца «уносится наружу.",На кончике среднего пальца руки.
RenMai1,Huiyin,"Хуэй» (会)一 слияние; «инь» (阴)一 Инь-каналы, Инь-Ци. Сосуд Жэнь-май — «слияние всех Инь-сосудов», место, где соединяются все ножные и ручные Инь-каналы тела. Хуэй-инь VC.1 — первая точка сосуда Жэнь-май, место слияния Инь-Ци, поэтому и сравнивается со слиянием Инь.",У мужчин – между мошонкой и анусом; у женщин – между задней спайкой больших половых губ и анусом.
RenMai2,Qugu,"Цюй (曲) - изогнутый; «гу» (骨) - кость. «Цюй-гу» — древний анатомический термин, обозначающий лобковый симфиз, у верхней части которого расположена точка.","На передней срединной линии, у верхнего края лобкового симфиза, на 5 цуней ниже пупка."
RenMai3,Zhongji,"«Чжун цзи» (中極) — «Полярная звезда». Внутрь от Чжун-цзи VC.3 находятся матка и «врата жизни» (движение Ци между почками), поэтому можно сказать, что точка расположена на очень важном месте тела человека, «высока и почитаема», как Полярная звезда. Кроме того, она расположена в середине расстояния между макушкой и пятками, словно Полярная звезда центр обращения светил, полюс неба.","На передней срединной линии, на 4 цуня ниже пупка, на 1 цунь выше лобкового симфиза."
RenMai4,Guanyuan,"1. «Гуань» (关)—«ключевой, важный»; «юань» (元) — «первичная Ци». Точка расположена ниже пупка между почками, в месте, где хранится первичная Ци, является ключевой точкой, способствующей восполнению первичной Ци, отсюда и название.2, «Гуань» (关)—«засов; закрывать»; «юань» (元)—«первичная Ци». Точка используется при критических состояниях со свойствами отхождения Ци, «закрывает» первичную Ци внутри организма, не позволяя ей выйти наружу.","На передней срединной линии, на 3 цуня ниже пупка."
RenMai5,Shimen,"Ши (石) - камень,быть заваленным камнями, бесплодная женщина»; «мэнь» (門) - ворота. В древности считалось, что укалывание этой точки вызывает бесплодие. Ши-мэнь VC.5 сравнивается с «воротами» сосуда Жэнь-май — «сосуда беременности». При укалывании этой точки «ворота» будут словно завалены камнями.","На передней срединной линии, на 2 цуня ниже пупка."
RenMai6,Qihai,"Ци» (氣)—Ци (основная материальная субстанция образования всего сущего во Вселенной); «хай» (海) — «море». Ян Сюаньцао (VII в.) писал: ^Движение Ци ниже пупка меэ/сду почками  это киноварное поле. Киноварное поле это корень человекам. Точка расположена ниже пупка, в месте, которое обычно соотносится с «киноварным полем» ( дань тянь), поэтому и сравнивается с морем Ци.","На передней срединной линии, на 1,5 цуня ниже пупка."
